Task_1.py :-
$ jupyter nbconvert --to script Task_1.ipynb
$ python -m cProfile Task_1.py

         349587642 function calls (349577830 primitive calls) in 262.126 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
4261/3173    0.010    0.000    2.780    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     1243    0.007    0.000    0.008    0.000 <frozen importlib._bootstrap>:103(release)
      609    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      609    0.002    0.000    0.026    0.000 <frozen importlib._bootstrap>:147(__enter__)
      609    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1243    0.011    0.000    0.022    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      611    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:176(cb)
      634    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    760/6    0.002    0.000    7.669    1.278 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     6273    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      556    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
      556    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:311(__enter__)
      556    0.012    0.000    0.016    0.000 <frozen importlib._bootstrap>:318(__exit__)
     2224    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      468    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:35(_new_module)
      597    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:369(__init__)
     1003    0.003    0.000    0.025    0.000 <frozen importlib._bootstrap>:403(cached)
     1032    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(parent)
      556    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      556    0.009    0.000    0.042    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  556/552    0.004    0.000    0.403    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
      611    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:634(_load_backward_compatible)
    557/6    0.009    0.000    7.763    1.294 <frozen importlib._bootstrap>:663(_load_unlocked)
      596    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:719(find_spec)
       21    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:740(create_module)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
     1243    0.009    0.000    0.009    0.000 <frozen importlib._bootstrap>:78(acquire)
      575    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:792(find_spec)
     1782    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:855(__enter__)
     1782    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:859(__exit__)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
      596    0.014    0.000    0.573    0.001 <frozen importlib._bootstrap>:882(_find_spec)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
   603/32    0.008    0.000    7.815    0.244 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   609/33    0.015    0.000    7.818    0.237 <frozen importlib._bootstrap>:978(_find_and_load)
        9    0.000    0.000    0.385    0.043 <frozen importlib._bootstrap>:994(_gcd_import)
       67    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
    67/66    0.001    0.000    0.352    0.005 <frozen importlib._bootstrap_external>:1040(create_module)
