Task_2.py :-
$ jupyter nbconvert --to script Task_2.ipynb
$ python -m cProfile Task_2.py
         590484 function calls (581087 primitive calls) in 7.588 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
3111/2043    0.002    0.000    0.323    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     1189    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      562    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      562    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:147(__enter__)
      562    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1189    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      563    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      627    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    733/3    0.001    0.000    1.185    0.395 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     4857    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      536    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      536    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      536    0.008    0.000    0.010    0.000 <frozen importlib._bootstrap>:318(__exit__)
     2144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      449    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      552    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      965    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:403(cached)
      930    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      536    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      536    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  536/532    0.001    0.000    0.114    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
