Task_3.py :-

$jupyter nbconvert --to script Task_3.ipynb
$python -m cProfile Task_3.py
         2986275 function calls (2952765 primitive calls) in 48.169 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
4887/2620    0.003    0.000    1.611    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     1770    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
      977    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      977    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:147(__enter__)
      977    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1770    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      978    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
      793    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   1330/9    0.001    0.000    2.469    0.274 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     7350    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      939    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      939    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      939    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:318(__exit__)
     3754    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      776    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      966    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     1694    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:403(cached)
     1927    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(parent)
      939    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      939    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
  939/934    0.002    0.000    0.955    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
      978    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:58(__init__)
